"Gene","degree","GeneName"
"N900_RS18560",70,"flavohemoglobin expression-modulating QEGLA motif protein"
"N900_RS19215",70,"N900_RS19215"
"N900_RS19830",70,"N900_RS19830"
"N900_RS20040",70,"N900_RS20040"
"N900_RS00690",69,"N900_RS00690"
"N900_RS01200",69,"tpiA"
"N900_RS01325",69,"argH"
"N900_RS01680",69,"fklB"
"N900_RS01800",69,"N900_RS01800"
"N900_RS01985",69,"rluA"
"N900_RS02460",69,"aceF"
"N900_RS02875",69,"C4-dicarboxylate ABC transporter"
"N900_RS03440",69,"flgA"
"N900_RS04580",69,"lplT"
"N900_RS04895",69,"hinT"
"N900_RS05890",69,"sapF"
"N900_RS05995",69,"hslJ"
"N900_RS06405",69,"sodC"
"N900_RS06630",69,"methyl-accepting chemotaxis protein_2"
"N900_RS06850",69,"zapc"
"N900_RS06890",69,"matP"
"N900_RS08525",69,"cspD"
"N900_RS09170",69,"nth"
"N900_RS09450",69,"rlmH"
"N900_RS09665",69,"gmhB"
"N900_RS10080",69,"membrane protein_1"
"N900_RS10460",69,"secD_1"
"N900_RS10885",69,"flhD"
"N900_RS11220",69,"Pseudogene_N900_RS11220"
"N900_RS11630",69,"mrcB"
"N900_RS11840",69,"protease, insulinase family/protease, insulinase family"
"N900_RS12270",69,"proC"
"N900_RS12390",69,"apaG"
"N900_RS12600",69,"pilO_1"
"N900_RS12690",69,"cysH"
"N900_RS12730",69,"zur"
"N900_RS12835",69,"dauR"
"N900_RS12950",69,"rsgA"
"N900_RS13385",69,"wbeT"
"N900_RS13720",69,"site-specific integrase"
"N900_RS13930",69,"trkh"
"N900_RS14905",69,"N900_RS14905"
"N900_RS15040",69,"hlyA"
"N900_RS15715",69,"N900_RS15715"
"N900_RS16305",69,"ycei"
"N900_RS16620",69,"rnk"
"N900_RS16705",69,"spoU"
"N900_RS16745",69,"dmlR_5"
"N900_RS16825",69,"N900_RS16825"
"N900_RS16865",69,"pal_2"
"N900_RS16895",69,"L-serine ammonia-lyase"
"N900_RS16935",69,"napF"
"N900_RS17185",69,"N900_RS17185"
"N900_RS17245",69,"tmaR_BLAST"
"N900_RS17330",69,"artM"
"N900_RS17390",69,"acpH"
"N900_RS18305",69,"diguanylate cyclase_6"
"N900_RS19120",69,"N900_RS19120"
"N900_RS19340",69,"N900_RS19340"
"N900_RS19370",69,"HNH endonuclease_3"
"N900_RS19890",69,"N900_RS19890"
"N900_RS20035",69,"VC_A0354_BLAST_2"
"N900_RS00225",68,"def1"
"N900_RS00335",68,"thiF"
"N900_RS01320",68,"argG"
"N900_RS01745",68,"ABC transporter permease_2"
"N900_RS02005",68,"pepA"
"N900_RS02700",68,"thrB"
"N900_RS02865",68,"2-hydroxyacid dehydrogenase"
"N900_RS03500",68,"flgK"
"N900_RS03765",68,"flrC"
"N900_RS04515",68,"dgt"
"N900_RS04915",68,"thiK"
"N900_RS05280",68,"SDR family oxidoreductase"
"N900_RS05415",68,"radC_2"
"N900_RS05660",68,"N900_RS05660"
"N900_RS05805",68,"yciA_1"
"N900_RS05830",68,"DNA-binding protein inhibitor Id-2-related protein"
"N900_RS05850",68,"torC"
"N900_RS06275",68,"HlyD family secretion protein"
"N900_RS06285",68,"N900_RS06285"
"N900_RS06300",68,"amino acid ABC transporter substrate-binding protein"
"N900_RS06805",68,"ABC transporter ATP-binding protein_2"
"N900_RS06830",68,"pepN"
"N900_RS08735",68,"VC_1099_BLAST"
"N900_RS08980",68,"ydjA"
"N900_RS09030",68,"asma_1"
"N900_RS09035",68,"udk"
"N900_RS09375",68,"N900_RS09375"
"N900_RS10160",68,"NAD(P)/FAD-dependent oxidoreductase"
"N900_RS10180",68,"citG"
"N900_RS10320",68,"vibB"
"N900_RS10575",68,"yfhl"
"N900_RS10765",68,"winged helix-turn-helix transcriptional regulator"
"N900_RS11200",68,"dinG_2"
"N900_RS11920",68,"aspartate kinase"
"N900_RS12315",68,"yggX"
"N900_RS12365",68,"djlA"
"N900_RS13515",68,"wavE"
"N900_RS13755",68,"capV"
"N900_RS14040",68,"N900_RS14040"
"N900_RS14155",68,"N900_RS14155"
"N900_RS14235",68,"tolB_2"
"N900_RS14630",68,"rbsB"
"N900_RS14740",68,"mrpE"
"N900_RS14760",68,"N900_RS14760"
"N900_RS14800",68,"cspV_1"
"N900_RS15130",68,"ctrA"
"N900_RS15370",68,"intIA"
"N900_RS15430",68,"HNH endonuclease_2"
"N900_RS15555",68,"toxin"
"N900_RS15930",68,"N900_RS15930"
"N900_RS16025",68,"type II toxin-antitoxin system Phd/YefM family antitoxin_1"
"N900_RS16240",68,"clcA"
"N900_RS16740",68,"tRNA (adenine-N(1))-methyltransferase"
"N900_RS16755",68,"nfsB"
"N900_RS17400",68,"tyrP"
"N900_RS17750",68,"retention module-containing protein"
"N900_RS18160",68,"N900_RS18160"
"N900_RS18780",68,"N900_RS18780"
"N900_RS19620",68,"N900_RS19620"
"N900_RS00355",67,"aminopeptidase P"
"N900_RS00375",67,"asnC"
"N900_RS00410",67,"ftnA"
"N900_RS00440",67,"ubiJ"
"N900_RS00475",67,"class I SAM-dependent methyltransferase_2"
"N900_RS00615",67,"lipoprotein"
