"Gene","Time","Space","logFC","timeNumber","Time_idx","Space_idx"
"N900_RS02445","1h","st",-0.13636,1,1,1
"N900_RS02450","1h","st",3.4082,1,1,1
"N900_RS02455","1h","st",1.1966,1,1,1
"N900_RS02460","1h","st",2.2699,1,1,1
"N900_RS02470","1h","st",3.8019,1,1,1
"N900_RS02555","1h","st",1.3231,1,1,1
"N900_RS02570","1h","st",0.62945,1,1,1
"N900_RS02575","1h","st",0.44968,1,1,1
"N900_RS02580","1h","st",1.6284,1,1,1
"N900_RS02595","1h","st",6.7286,1,1,1
"N900_RS02600","1h","st",2.4835,1,1,1
"N900_RS02605","1h","st",3.9633,1,1,1
"N900_RS02610","1h","st",-0.18886,1,1,1
"N900_RS02615","1h","st",-0.66735,1,1,1
"N900_RS02620","1h","st",-0.80296,1,1,1
"N900_RS02625","1h","st",-0.2428,1,1,1
"N900_RS02630","1h","st",3.4195,1,1,1
"N900_RS02635","1h","st",0.23916,1,1,1
"N900_RS02640","1h","st",-0.24831,1,1,1
"N900_RS02645","1h","st",1.6371,1,1,1
"N900_RS02650","1h","st",0.40505,1,1,1
"N900_RS02655","1h","st",-0.24449,1,1,1
"N900_RS02660","1h","st",-1.1142,1,1,1
"N900_RS02665","1h","st",0.79045,1,1,1
"N900_RS02670","1h","st",-0.31165,1,1,1
"N900_RS02675","1h","st",1.8401,1,1,1
"N900_RS02680","1h","st",0.30721,1,1,1
"N900_RS02685","1h","st",-0.16155,1,1,1
"N900_RS02690","1h","st",2.9939,1,1,1
"N900_RS02695","1h","st",-0.31452,1,1,1
"N900_RS02700","1h","st",-0.54817,1,1,1
"N900_RS02705","1h","st",1.5076,1,1,1
"N900_RS02715","1h","st",-0.70113,1,1,1
"N900_RS02720","1h","st",0.13654,1,1,1
"N900_RS02725","1h","st",0.23133,1,1,1
"N900_RS02730","1h","st",0.13729,1,1,1
"N900_RS02735","1h","st",3.9361,1,1,1
"N900_RS02740","1h","st",-0.69205,1,1,1
"N900_RS02745","1h","st",0.15955,1,1,1
"N900_RS02750","1h","st",0.09145,1,1,1
"N900_RS02755","1h","st",1.1543,1,1,1
"N900_RS02760","1h","st",0.31411,1,1,1
"N900_RS02765","1h","st",1.3376,1,1,1
"N900_RS02770","1h","st",3.0868,1,1,1
"N900_RS02775","1h","st",-0.32535,1,1,1
"N900_RS02780","1h","st",-1.0578,1,1,1
"N900_RS02785","1h","st",-0.39822,1,1,1
"N900_RS02790","1h","st",2.4107,1,1,1
"N900_RS02795","1h","st",-0.10348,1,1,1
"N900_RS02805","1h","st",0.00238,1,1,1
"N900_RS02810","1h","st",0.7181,1,1,1
"N900_RS02815","1h","st",1.5239,1,1,1
"N900_RS02820","1h","st",-0.0017827,1,1,1
"N900_RS02825","1h","st",0.5132,1,1,1
"N900_RS02830","1h","st",0.30316,1,1,1
"N900_RS02835","1h","st",-0.68484,1,1,1
"N900_RS02840","1h","st",-0.90594,1,1,1
"N900_RS02845","1h","st",2.9139,1,1,1
"N900_RS02850","1h","st",-0.4886,1,1,1
"N900_RS02855","1h","st",3.2324,1,1,1
"N900_RS02865","1h","st",3.9416,1,1,1
"N900_RS02870","1h","st",-0.046771,1,1,1
"N900_RS02875","1h","st",1.2095,1,1,1
"N900_RS02880","1h","st",2.3975,1,1,1
"N900_RS02885","1h","st",3.5793,1,1,1
"N900_RS02890","1h","st",0.22243,1,1,1
"N900_RS02895","1h","st",0.32239,1,1,1
"N900_RS02905","1h","st",-0.15016,1,1,1
"N900_RS02910","1h","st",-0.17172,1,1,1
"N900_RS02915","1h","st",-0.092488,1,1,1
"N900_RS02920","1h","st",-0.66456,1,1,1
"N900_RS02925","1h","st",0.057194,1,1,1
"N900_RS02930","1h","st",-0.70941,1,1,1
"N900_RS02935","1h","st",-0.22293,1,1,1
"N900_RS02940","1h","st",-0.10615,1,1,1
"N900_RS02945","1h","st",-0.35153,1,1,1
"N900_RS02950","1h","st",-0.40561,1,1,1
"N900_RS02955","1h","st",1.4019,1,1,1
"N900_RS02960","1h","st",0.36171,1,1,1
"N900_RS02965","1h","st",-0.51994,1,1,1
"N900_RS02970","1h","st",-0.065042,1,1,1
"N900_RS02975","1h","st",0.26117,1,1,1
"N900_RS02980","1h","st",2.8535,1,1,1
"N900_RS02985","1h","st",-0.61995,1,1,1
"N900_RS02990","1h","st",2.5652,1,1,1
"N900_RS02995","1h","st",1.2292,1,1,1
"N900_RS03000","1h","st",2.0563,1,1,1
"N900_RS03005","1h","st",1.7899,1,1,1
"N900_RS03010","1h","st",2.3223,1,1,1
"N900_RS03015","1h","st",1.7593,1,1,1
"N900_RS03020","1h","st",3.7367,1,1,1
"N900_RS03025","1h","st",0.13095,1,1,1
"N900_RS03030","1h","st",0.95407,1,1,1
"N900_RS03035","1h","st",2.993,1,1,1
"N900_RS03055","1h","st",-0.006488,1,1,1
"N900_RS03060","1h","st",0.20938,1,1,1
"N900_RS03065","1h","st",0.011054,1,1,1
"N900_RS03070","1h","st",1.6307,1,1,1
"N900_RS03075","1h","st",-0.28888,1,1,1
"N900_RS03080","1h","st",3.3207,1,1,1
