"Gene","Time","Space","logFC","Cluster_DTW","Silhouette_DTW","Cluster_cosine","Silhouette_cosine","GeneName"
"N900_RS01105","1h","st",4.4366,2,0.0266096886868405,4,-0.0687228470526649,"cpxp"
"N900_RS01110","1h","st",2.0098,15,-0.105671808290313,7,0.0965947482114146,"fieF"
"N900_RS01115","1h","st",4.017,3,0.284377126671459,1,0.172668564464764,"pfkA"
"N900_RS01120","1h","st",0.4574,4,0.0180954795018163,17,-0.235143965280282,"glpX"
"N900_RS01125","1h","st",-1.1406,12,0.016993208749267,15,0.0492850928701873,"zapB"
"N900_RS01130","1h","st",-0.58923,18,-0.0259738374461754,7,0.0705157332638829,"metF"
"N900_RS01135","1h","st",1.3279,14,0.0142855270317474,7,-0.0821584052072872,"metL"
"N900_RS01140","1h","st",-0.57956,13,-0.157404793383195,13,0.0539061134782502,"metB"
"N900_RS01145","1h","st",1.6448,10,0.048276443513951,6,-0.0622515046768174,"metJ"
"N900_RS01150","1h","st",2.5574,14,0.0369470142563313,7,-0.060311287097891,"maeB"
"N900_RS01155","1h","st",3.0164,4,0.0609709961822834,1,0.401253961719044,"rpmE"
"N900_RS01165","1h","st",0.36719,14,0.0141752768334405,13,0.102730407843428,"cytR"
"N900_RS01175","1h","st",0.25573,2,-0.0239963565081098,5,0.00740810287368803,"hslV"
"N900_RS01180","1h","st",-0.39348,15,0.0622575558912993,6,0.0127316142629311,"hslU"
"N900_RS01185","1h","st",1.2261,3,0.00981256460481836,4,0.00578862428793616,"menA"
"N900_RS01190","1h","st",0.12445,9,0.0178893713614968,6,-0.232563824480142,"rraA"
"N900_RS01195","1h","st",-0.38046,20,-0.0323809133664951,5,0.166317317681718,"norM_1"
"N900_RS01200","1h","st",3.2817,3,0.19610073439242,1,0.21892151309405,"tpiA"
"N900_RS01205","1h","st",-0.30939,18,0.0212914315560997,13,0.0840831944706781,"5-carboxymethyl-2-hydroxymuconate Delta-isomerase"
"N900_RS01210","1h","st",0.25603,2,-0.0559738682258696,10,0.0983263854749466,"N900_RS01210"
"N900_RS01215","1h","st",0.12421,2,-0.0160707641903043,7,-0.0476549645019277,"N900_RS01215"
"N900_RS01220","1h","st",0.91463,10,-0.0318262683877413,13,0.0804034401775967,"transcriptional regulator_1"
"N900_RS01235","1h","st",-0.28707,18,0.00443569258448755,8,-0.112361964022108,"N900_RS01235"
"N900_RS01240","1h","st",0.86863,13,0.0398860367521146,1,0.0802314585675717,"epmB"
"N900_RS01245","1h","st",-0.30646,6,-0.0876875426488224,16,0.0538911515576614,"efp"
"N900_RS01250","1h","st",0.97126,7,-0.0276631676320286,10,0.103857498415827,"frdD"
"N900_RS01255","1h","st",0.60461,7,0.0195353567638796,6,-0.114976557335982,"frdC"
"N900_RS01260","1h","st",1.2852,7,0.00498105408746962,4,0.0698691122083631,"frdB"
"N900_RS01265","1h","st",0.72922,7,0.0450759407972054,4,0.0379883133705256,"frdA"
"N900_RS01270","1h","st",-0.049876,6,0.0328812892939826,15,0.253644099515376,"epmA"
"N900_RS01275","1h","st",-0.062828,12,0.050115573812885,12,-0.0346577684058247,"yibN"
"N900_RS01280","1h","st",1.207,11,-0.0287712374375558,12,0.0395777611034424,"secB"
"N900_RS01285","1h","st",2.7303,8,0.0997903125056236,1,0.42751315240494,"gpsA"
"N900_RS01290","1h","st",3.7434,3,0.444937464755037,1,0.119568260278697,"cysE"
"N900_RS01295","1h","st",0.99782,1,-0.0222196134914875,14,-0.0710301470089657,"PadR family transcriptional regulator"
"N900_RS01300","1h","st",0.29311,9,-0.0173453321371698,10,-0.0328104980791365,"ppc"
"N900_RS01305","1h","st",1.6803,2,0.00236633934615387,7,0.0899618045398253,"argE"
"N900_RS01310","1h","st",0.52399,18,0.0734781536328889,7,0.14593802647476,"argC"
"N900_RS01315","1h","st",3.3963,14,0.0344868966221393,10,0.0996266475451598,"argB"
"N900_RS01320","1h","st",-1.0504,11,-0.00494080907932683,14,0.0872587978483909,"argG"
"N900_RS01325","1h","st",-0.17467,12,-0.0409755106209298,2,-0.0258214926113507,"argH"
"N900_RS01330","1h","st",1.7194,13,0.0156476412760029,10,0.0111107736740644,"N900_RS01330"
"N900_RS01335","1h","st",2.0546,4,-0.0127324557692082,2,-0.119290269025777,"lpd"
"N900_RS01340","1h","st",0.18233,20,-0.0278363803389699,9,-0.219284240532123,"glutathione peroxidase"
"N900_RS01345","1h","st",0.68535,3,-0.0659264360756571,6,-0.229830814197508,"oxyR"
"N900_RS01355","1h","st",3.4947,2,0.0213069438728633,4,-0.0768480550929912,"pilM"
"N900_RS01360","1h","st",-0.41744,14,0.000142362464439884,7,0.0568612440419169,"pilus assembly protein PilN"
"N900_RS01370","1h","st",0.28227,4,-0.0345903232593548,10,0.0565812089841964,"PilP"
"N900_RS01375","1h","st",3.0992,16,-0.099477592154104,7,0.10208757530956,"fimbrial assembly protein"
"N900_RS01380","1h","st",0.44255,6,0.162898540872382,16,-0.034501855126339,"aroK"
"N900_RS01385","1h","st",-0.52628,11,-0.0138893475020195,14,0.0546919370284108,"aroB"
"N900_RS01390","1h","st",-0.46449,16,-0.125258491002245,18,-0.229782877127554,"damX_1"
"N900_RS01400","1h","st",1.525,8,0.106747297093569,16,0.160303021980592,"ribulose-phosphate 3-epimerase"
"N900_RS01405","1h","st",0.96043,9,0.00997145086880679,10,0.021593942804689,"gph"
"N900_RS01415","1h","st",0.98439,20,-0.0649254211840593,9,0.0545535782899767,"ABC transporter substrate-binding protein_8"
"N900_RS01420","1h","st",3.4995,14,0.037444697174229,10,0.0351067211840831,"xds_1"
"N900_RS01425","1h","st",-1.1205,12,0.0372942267252105,19,-0.016195267635281,"rimO"
"N900_RS01430","1h","st",2.9963,18,-0.0147230732284809,7,-0.0456910263514814,"trpG_1"
"N900_RS01435","1h","st",-0.39968,18,0.0493977865216535,17,-0.0626281606837848,"aruC"
"N900_RS01440","1h","st",1.9979,14,0.0264573697991003,13,0.238120985204132,"astA"
"N900_RS01445","1h","st",-0.52448,16,-0.100746994543551,13,0.230813186227517,"astD"
"N900_RS01450","1h","st",-0.46727,5,-0.0200658404821281,5,0.0562117100787282,"N900_RS01450"
"N900_RS01455","1h","st",3.7261,3,0.460950169530235,1,0.0713549309265195,"crp"
"N900_RS01460","1h","st",-0.6368,16,-0.0409202697853312,8,-0.0215499693738961,"cfxP"
"N900_RS01465","1h","st",5.4891,10,0.0337748192766423,10,0.0359039766002361,"VC_2612_BLAST"
"N900_RS01470","1h","st",-1.279,11,-0.0671306763052283,12,0.0243898755500082,"hydrolase"
"N900_RS01475","1h","st",3.5838,16,0.0443229878969882,9,0.0374025608060326,"N900_RS01475"
"N900_RS01480","1h","st",3.4724,4,-0.0388066635079969,5,0.0156780701926763,"yheS"
"N900_RS01485","1h","st",2.5967,2,-0.013295472901112,10,-0.0261401303998905,"kefG"
"N900_RS01490","1h","st",1.9593,16,0.00190911412674423,19,-0.250839373387693,"kefB"
"N900_RS01495","1h","st",0.51851,20,-0.0219994934754443,4,0.0379551918779171,"metal-binding protein"
"N900_RS01500","1h","st",5.563,7,0.0166978056416069,10,0.0379224343433189,"slyD"
"N900_RS01505","1h","st",-0.18348,4,0.0319029183645941,5,-0.112541608000618,"iaaA"
"N900_RS01515","1h","st",-1.5093,19,0.086912307280513,14,-0.106309326229452,"motX_BLAST"
"N900_RS01520","1h","st",2.4122,14,0.0644988250030025,5,0.0170624491533405,"N900_RS01520"
"N900_RS01525","1h","st",-0.38872,14,-0.0184885057073689,7,0.0326747171620462,"rnr"
